experiment_id,accuracy,precision,recall,timestamp
1,0.8086166344657351,0.8439720255386294,0.5484682183528883,2025-03-01T02:14:28.883828
2,0.9757071488588757,0.6319731866981185,0.9241998661393963,2025-01-03T07:28:24.852861
3,0.9122782431253075,0.6614189113559532,0.7374686150504929,2025-01-26T10:00:42.825112
4,0.8736109604171406,0.9414505916402901,0.8884350090706385,2025-01-21T15:04:43.950330
5,0.7452454057283066,0.8304430426706442,0.6504233124843876,2025-03-10T01:29:05.155537
6,0.7452384108974988,0.6034948796143192,0.9208959173932142,2025-03-04T12:54:42.322495
7,0.7168442475287778,0.6385591862890921,0.6829247890050566,2025-03-24T10:50:38.832847
8,0.9511910822747311,0.8521306722610612,0.5050936961957402,2025-01-09T00:49:45.626287
9,0.8743233534055306,0.6019234018615631,0.9255295289170539,2025-02-08T23:49:04.047028
10,0.9053410475608532,0.6611070595386495,0.5429047380894828,2025-01-03T18:05:23.616083
11,0.7059695033457827,0.8085188399593027,0.6500774096674949,2025-01-21T04:56:11.537055
12,0.9812738571269783,0.8629201751232234,0.9465291245138783,2025-02-16T16:52:20.184881
13,0.9414083658321223,0.8477452786109881,0.9467853590606513,2025-01-03T10:51:23.322757
14,0.7615783420967001,0.6852223375950127,0.7695158074179445,2025-01-19T09:01:10.720859
15,0.7527292404900592,0.8706281041120636,0.7969634897198057,2025-03-02T01:26:10.613520
16,0.7531873078574958,0.690154653248784,0.7107693953298103,2025-02-20T08:40:26.391720
17,0.7882302504582659,0.7236518853005217,0.6378090626980903,2025-01-21T08:56:05.240805
18,0.8521793651733489,0.8836667339448492,0.6544723363238605,2025-02-24T10:59:04.472719
19,0.8252640554062135,0.8468605016379416,0.816083674356208,2025-03-16T19:18:27.123832
20,0.7844564506574321,0.9227048959877876,0.8536160288357096,2025-01-01T14:24:51.029828
21,0.87743733946949,0.8498928990741305,0.8720421505511488,2025-03-16T11:17:52.523445
22,0.740453219589092,0.8159572692674792,0.8711205271134403,2025-03-06T12:27:54.817387
